variety_name,detail_url,jina,zao,crop_common,crop_scientific,crop_full_name,mwaka_usajili,registrant,altitude_range,altitude_min,altitude_max,suitable_regions,grain_yield,grain_yield_min,grain_yield_max,distinctive_characters,days_to_tasseling,plant_height_cm,grain_size,stem_colour,additional_fields
HILBERT RZ,https://www.tosci.go.tz/seed-varieties/hilbert-rz,HILBERT RZ,Letuce (Lactuca sativa  ),Letuce,Lactuca sativa,Letuce (Lactuca sativa  ),2021,Rijk Zwaan Afrisem Ltd.,,,,,,,,,,,,,{}
Hope F1,https://www.tosci.go.tz/seed-varieties/hope-f1,Hope F1,Sweet pepper (Capsicum annum L.),Sweet pepper,Capsicum annum L.,Sweet pepper (Capsicum annum L.),2023,Epinav Agricultural Solution,,,,,,,,,,,,,{}
HPH 1317,https://www.tosci.go.tz/seed-varieties/hph-1317,HPH 1317,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2017,MATC,800 - 1200,800.0,1200.0,Medium Altitude,6,6.0,,,,,,,"{""Special Attributes"": ""Vitamin a level of 9.3 microgram/g, carotene colour intensity score 3.2, High yielding under optimal condition""}"
HPH 1322,https://www.tosci.go.tz/seed-varieties/hph-1322,HPH 1322,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2017,MATC,800 - 1200,800.0,1200.0,Medium Altitude,6,6.0,,,,,,,"{""Special Attributes"": ""Vitamin a level of 9.3 microgram/g, carotene colour intensity score 3.2, High yielding under optimal condition""}"
HVCR-011,https://www.tosci.go.tz/seed-varieties/hvcr-011,HVCR-011,Carrot,Carrot,,Carrot,2025,ACSEN AGRISCIENCE (TZ) P LTD,,,,,,,,,,,,,{}
HVCR-015,https://www.tosci.go.tz/seed-varieties/hvcr-015,HVCR-015,Carrot,Carrot,,Carrot,2025,ACSEN AGRISCIENCE (TZ) P LTD,,,,,,,,,,,,,{}
HVCR-016,https://www.tosci.go.tz/seed-varieties/hvcr-016,HVCR-016,Carrot,Carrot,,Carrot,2025,ACSEN AGRISCIENCE (TZ) P LTD,,,,,,,,,,,,,{}
HVCR-029,https://www.tosci.go.tz/seed-varieties/hvcr-029,HVCR-029,Carrot,Carrot,,Carrot,2025,ACSEN AGRISCIENCE (TZ) P LTD,,,,,,,,,,,,,{}
HVCU-034,https://www.tosci.go.tz/seed-varieties/hvcu-034,HVCU-034,Cucumber,Cucumber,,Cucumber,2025,ACSEN AGRISCIENCE (TZ) P LTD,,,,,,,,,,,,,{}
HVOK-103,https://www.tosci.go.tz/seed-varieties/hvok-103,HVOK-103,Okra,Okra,,Okra,2025,ACSEN AGRISCIENCE (TZ) P LTD,,,,,,,,,,,,,{}
HVTM-031,https://www.tosci.go.tz/seed-varieties/hvtm-031,HVTM-031,Tomato,Tomato,,Tomato,2025,ACSEN AGRISCIENCE (TZ) P LTD,,,,,,,,,,,,,{}
HVTM-237,https://www.tosci.go.tz/seed-varieties/hvtm-237,HVTM-237,Tomato,Tomato,,Tomato,2025,ACSEN AGRISCIENCE (TZ) P LTD,,,,,,,,,,,,,{}
HVWM-047,https://www.tosci.go.tz/seed-varieties/hvwm-047,HVWM-047,Watermelon,Watermelon,,Watermelon,2025,ACSEN AGRISCIENCE (TZ) P LTD,,,,,,,,,,,,,{}
HYSUN 33,https://www.tosci.go.tz/seed-varieties/hysun-33,HYSUN 33,Sunflower (Helianthus annus L.),Sunflower,Helianthus annus L.,Sunflower (Helianthus annus L.),2015,Advanta Seed Company Ltd,100-2000,100.0,2000.0,"Morogoro, Pwani, Dodoma, Singida, Iringa, Sumbawanga, Rukwa, Kilimanjaro",2.5,2.5,,,,,,,"{""Special Attributes"": ""Oil content 41% and is tolerant to powdery mildew""}"
ICW,https://www.tosci.go.tz/seed-varieties/icw,ICW,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),1977,ARI - Ilonga,0-900,0.0,900.0,"Kilimanjaro, Morogoro, Arusha, Tanga, Mtwara",4.0-6.0,4.0,6.0,"Leaf orientation: droopy,Days to 50% tasseling: 60Tassel colour: present ,Days to 50% silking: 66-72,Silk colour: mostly white with purple,Seed or grain:predominantly flint with dent cap",60.0,,,,"{""Special Attributes"": ""Suitable in lowland areas""}"
