variety_name,detail_url,jina,zao,crop_common,crop_scientific,crop_full_name,mwaka_usajili,registrant,altitude_range,altitude_min,altitude_max,suitable_regions,grain_yield,grain_yield_min,grain_yield_max,distinctive_characters,days_to_tasseling,plant_height_cm,grain_size,stem_colour,additional_fields
TARI-G-GRAM 3,https://www.tosci.go.tz/seed-varieties/tari-g-gram-3,TARI-G-GRAM 3,CHOROKO,CHOROKO,,CHOROKO,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),500m,500.0,,LOW TO MEDIUM,1.23 - 1.64,1.23,1.64,,,,,,{}
TARI-G-GRAM 4,https://www.tosci.go.tz/seed-varieties/tari-g-gram-4,TARI-G-GRAM 4,CHOROKO,CHOROKO,,CHOROKO,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),500m,500.0,,LOW TO MEDIUM,,,,"Ina madini ya chuma  (Fe) 66.50-74.60mg/kg, zinki 25.70-32.60mg/kg, Calcium 94.76-169.19mg/kg",,,,,"{""Special Attributes"": ""Ina madini ya chuma kiwango cha 66.55-74.60mg/kg, ina madini ya zink kiwango cha 25.70 - 32.60mg/kg, ina madini ya kalsium kiwango cha 169.19mg/kg""}"
TARI-G-GRAM 5,https://www.tosci.go.tz/seed-varieties/tari-g-gram-5,TARI-G-GRAM 5,CHOROKO,CHOROKO,,CHOROKO,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),500m,500.0,,LOW TO MEDIUM,,,,,,,,,{}
TARI-G-GRAM1,https://www.tosci.go.tz/seed-varieties/tari-g-gram1,TARI-G-GRAM1,Green gram (Vigna radiata L.),Green gram,Vigna radiata L.,Green gram (Vigna radiata L.),2022,TARI,200,200.0,,Low altitude,0.8,0.8,,"Early maturing, 90 days",,,,,"{""Special Attributes"": ""Torelance to Yellow Mosaic Virus, Cercospora Leaf Spot, Anthracnose""}"
TARI-G-GRAM2,https://www.tosci.go.tz/seed-varieties/tari-g-gram2,TARI-G-GRAM2,Green gram (Vigna radiata L.),Green gram,Vigna radiata L.,Green gram (Vigna radiata L.),2022,TARI,200,200.0,,Low altitude,0.8,0.8,,"Early maturing, 90 days",,,,,"{""Special Attributes"": ""Torelance to Yellow Mosaic Virus, Cercospora Leaf Spot, Anthracnose""}"
TARI-ILO 2019,https://www.tosci.go.tz/seed-varieties/tari-ilo-2019,TARI-ILO 2019,Sunflower (Helianthus annus L.),Sunflower,Helianthus annus L.,Sunflower (Helianthus annus L.),2020,Tanzania Agricultural Research Institute (TARI),0-2000,0.0,2000.0,Low to High,2,2.0,,,,,,,"{""Special Attributes"": ""High yielding OPV varieties (1.5-2t/ha), High oil content (33.6%), Early maturity""}"
TARI-NAL2019,https://www.tosci.go.tz/seed-varieties/tari-nal2019,TARI-NAL2019,Sunflower (Helianthus annus L.),Sunflower,Helianthus annus L.,Sunflower (Helianthus annus L.),2020,Tanzania Agricultural Research Institute (TARI),0-1800,0.0,1800.0,Low to High,2,2.0,,,,,,,"{""Special Attributes"": ""High yielding OPV varieties (1.5-2t/ha), High oil content (36.8%), Early maturity""}"
TARI-RIC1,https://www.tosci.go.tz/seed-varieties/tari-ric1,TARI-RIC1,Paddy (Oryza sativa),Paddy,Oryza sativa,Paddy (Oryza sativa),2020,Tanzania Agricultural Research Institute (TARI),100-1200,100.0,1200.0,Low to Medium,,,,,,,,,"{""Special Attributes"": ""High grain yield potential and stability in its areas of adaptation, Aromatic with good cooking quality (stays soft after cooling), Good grain quality (translucent, long bold- slender grains), High grain yield potential and stability in its areas of adaptation, Aromatic with good cooking quality (stays soft after cooling), Good grain quality (translucent, long bold- slender grains)""}"
TARI-RIC3,https://www.tosci.go.tz/seed-varieties/tari-ric3,TARI-RIC3,Paddy (Oryza sativa),Paddy,Oryza sativa,Paddy (Oryza sativa),2022,Tanzania Agricultural research Institute,0-1000,0.0,1000.0,Low to Medium,6.3,6.3,,,,,,,"{""Special Attributes"": ""High yielding, Semi-aromatic, Good milling qualities, Maturity 118-127 days""}"
TARI-SP1,https://www.tosci.go.tz/seed-varieties/tari-sp1,TARI-SP1,Sweet potatoes (Ipomea batatas  L.),Sweet potatoes,Ipomea batatas  L.,Sweet potatoes (Ipomea batatas  L.),2020,Tanzania Agricultural Research Institute (TARI),,,,,,,,,,,,,"{""Special Attributes"": ""High dry matter content, Rich in beta-carotene a precursor of Vitamin A, Moderate yielding ability, Moderate resistance to weevil (Cylas spp) and SPVD""}"
TARI-SP2,https://www.tosci.go.tz/seed-varieties/tari-sp2,TARI-SP2,Sweet potatoes (Ipomea batatas L.),Sweet potatoes,Ipomea batatas L.,Sweet potatoes (Ipomea batatas L.),2020,Tanzania Agricultural Research Institute (TARI),,,,,,,,,,,,,"{""Special Attributes"": ""High dry matter content, Rich in beta-carotene a precursor of Vitamin A, Moderate yielding ability, Moderate resistance to weevil (Cylas spp) and SPVD""}"
TARI-SP3,https://www.tosci.go.tz/seed-varieties/tari-sp3,TARI-SP3,Sweet potatoes (Ipomea batatas L.),Sweet potatoes,Ipomea batatas L.,Sweet potatoes (Ipomea batatas L.),2020,Tanzania Agricultural Research Institute (TARI),,,,,,,,,,,,,"{""Special Attributes"": ""High dry matter content, Rich in beta-carotene a precursor of Vitamin A, Moderate yielding ability, Moderate resistance to weevil (Cylas spp) and SPVD""}"
TARI-SP4,https://www.tosci.go.tz/seed-varieties/tari-sp4,TARI-SP4,Sweet potatoes (Ipomea batatas L.),Sweet potatoes,Ipomea batatas L.,Sweet potatoes (Ipomea batatas L.),2020,Tanzania Agricultural Research Institute (TARI),,,,,,,,,,,,,"{""Special Attributes"": ""High dry matter content, Rich in beta-carotene a precursor of Vitamin A, Moderate yielding ability, Moderate resistance to weevil (Cylas spp) and SPVD""}"
TARI-SP5,https://www.tosci.go.tz/seed-varieties/tari-sp5,TARI-SP5,Sweet potatoes (Ipomea batatas L.),Sweet potatoes,Ipomea batatas L.,Sweet potatoes (Ipomea batatas L.),2020,Tanzania Agricultural Research Institute(TARI),,,,,,,,,,,,,"{""Special Attributes"": ""High dry matter content, Rich in beta-carotene a precursor of Vitamin A, Moderate yielding ability, Moderate resistance to weevil (Cylas spp) and SPVD""}"
TARI-SP6,https://www.tosci.go.tz/seed-varieties/tari-sp6,TARI-SP6,Sweet potatoes (Ipomea batatas L.),Sweet potatoes,Ipomea batatas L.,Sweet potatoes (Ipomea batatas L.),2020,Tanzania Agricultural Reserch Institute(TARI,,,,,,,,,,,,,{}
TARI-WHEAT1,https://www.tosci.go.tz/seed-varieties/tari-wheat1,TARI-WHEAT1,Wheat (Triticum aestivum.L),Wheat,Triticum aestivum.L,Wheat (Triticum aestivum.L),2022,Tanzania Agricultural research Institute,1000-2000,1000.0,2000.0,Medium to High,4.0-4.6,4.0,4.6,Maturity 97-110 days,,,,,"{""Special Attributes"": ""Resistant to stem rust, Good gluten content 38.9%, Resistant lo stem logdging, High protein content 15.4%""}"
TARI-WHEAT2,https://www.tosci.go.tz/seed-varieties/tari-wheat2,TARI-WHEAT2,Wheat (Triticum aestivum.L),Wheat,Triticum aestivum.L,Wheat (Triticum aestivum.L),2022,Tanzania Agricultural research Institute,1000-20000,1000.0,20000.0,Medium to High,3.3-4.0,3.3,4.0,Maturity 97-110 days,,,,,"{""Special Attributes"": ""Resistant to stem rust, Good gluten content 38.9%, Resistant lo stem logdging, High protein content 15.4%""}"
TARIBAN1,https://www.tosci.go.tz/seed-varieties/tariban1,TARIBAN1,Banana (Musa spp),Banana,Musa spp,Banana (Musa spp),2021,Tanzania Agricultural Research Institute (TARI),0-2000,0.0,2000.0,Low to High attitudes,,,,,,,,,"{""Special Attributes"": ""High yielding""}"
TARIBAN2,https://www.tosci.go.tz/seed-varieties/tariban2,TARIBAN2,Banana (Musa spp),Banana,Musa spp,Banana (Musa spp),2021,Tanzania Agricultural Research Institute (TARI),0-2000,0.0,2000.0,Low to High attitudes,,,,,,,,,"{""Special Attributes"": ""High yielding,Black Sigatoka tolerance,Weevil resistance""}"
TARIBAN3,https://www.tosci.go.tz/seed-varieties/tariban3,TARIBAN3,Banana (Musa spp),Banana,Musa spp,Banana (Musa spp),2021,Tanzania Agricultural Research Institute (TARI),0-2000,0.0,2000.0,Low to High attitudes,,,,,,,,,"{""Special Attributes"": ""High yielding,Black Sigatoka tolerance ,Weevil resistance""}"
TARIBAN4,https://www.tosci.go.tz/seed-varieties/tariban4,TARIBAN4,Banana (Musa spp),Banana,Musa spp,Banana (Musa spp),2021,Tanzania Agricultural Research Institute (TARI),0-2000,0.0,2000.0,Low to High attitudes,,,,,,,,,"{""Special Attributes"": ""High yielding,Black Sigatoka tolerance ,Weevil resistance""}"
TARIBEAN1,https://www.tosci.go.tz/seed-varieties/taribean1,TARIBEAN1,Bean (Phaseolus vulgaris L.),Bean,Phaseolus vulgaris L.,Bean (Phaseolus vulgaris L.),2021,Tanzania Agricultural Research Institute (TARI),Above 1000,1000.0,,Lake zone,,,,,,,,,"{""Special Attributes"": ""High yielding, Heat tolerant""}"
TARIBEAN10,https://www.tosci.go.tz/seed-varieties/taribean10,TARIBEAN10,Bean (Phaseolus vulgaris L.),Bean,Phaseolus vulgaris L.,Bean (Phaseolus vulgaris L.),2024,Tanzania Agricultural Research Institute,800-2000,800.0,2000.0,Medium-High,2.5,2.5,,"Inastahilimili magonjwa ya Angular leaf spot, rust and bacteria blight,Red speckles in cream primary seed color,Inakomaa kati ya siku 90-100;",,,,,{}
TARIBEAN11,https://www.tosci.go.tz/seed-varieties/taribean11,TARIBEAN11,Bean (Phaseolus vulgaris L.),Bean,Phaseolus vulgaris L.,Bean (Phaseolus vulgaris L.),2024,Tanzania Agricultural Research Institute,800-1801,800.0,1801.0,Medium-High,2.6,2.6,,"Inastahilimili magonjwa ya Common bean rust and bacterial blight),Maroon speckles in cream primary seed colour,Inakomaa kwa wastani wa siku 90 -100",,,,,{}
TARIBEAN2,https://www.tosci.go.tz/seed-varieties/taribean2,TARIBEAN2,Bean (Phaseolus vulgaris L.),Bean,Phaseolus vulgaris L.,Bean (Phaseolus vulgaris L.),2021,Tanzania Agricultural Research Institute (TARI),Above 1000,1000.0,,Lake zone,,,,,,,,,"{""Special Attributes"": ""High yielding, Rich in iron 44.8-87.2 ppm, Zinc 30.0-42.8 ppm""}"
TARIBEAN3,https://www.tosci.go.tz/seed-varieties/taribean3,TARIBEAN3,Bean (Phaseolus vulgaris L.),Bean,Phaseolus vulgaris L.,Bean (Phaseolus vulgaris L.),2021,Tanzania Agricultural Research Institute (TARI),Above 1000,1000.0,,Lake zone,,,,,,,,,"{""Special Attributes"": ""High yielding, Rich in Iron and Zinc: Iron 44.8-87.2 ppm, Zinc 30.0-42.8 ppm""}"
TARIBEAN4,https://www.tosci.go.tz/seed-varieties/taribean4,TARIBEAN4,Bean (Phaseolus vulgaris L.),Bean,Phaseolus vulgaris L.,Bean (Phaseolus vulgaris L.),2021,Tanzania Agricultural Research Institute (TARI),Above 1000,1000.0,,Lake zone,,,,,,,,,"{""Special Attributes"": ""High yielding, Rich in Iron 55.5 -78.3, Zinc 31.4-40.4 ppm""}"
TARIBEAN5,https://www.tosci.go.tz/seed-varieties/taribean5,TARIBEAN5,Bean (Phaseolus vulgaris L.),Bean,Phaseolus vulgaris L.,Bean (Phaseolus vulgaris L.),2021,Tanzania Agricultural Research Institute (TARI),Above 1000,1000.0,,Lake zone,,,,,,,,,"{""Special Attributes"": ""High yielding, Rich in iron and zinc, Iron 64.8-90.5 ppm, Zinc: 30.9 -40.4 ppm""}"
TARIBEAN6,https://www.tosci.go.tz/seed-varieties/taribean6,TARIBEAN6,Bean (Phaseolus vulgaris L.),Bean,Phaseolus vulgaris L.,Bean (Phaseolus vulgaris L.),2024,Tanzania Agricultural Research Institute,1000-2000,1000.0,2000.0,Medium-High,2,2.0,,Fe content (68.2-72 mg/kg); Zn Content zinki (35-40 mg/kg) ; average days to maturity 72,,,,,{}
TARIBEAN7,https://www.tosci.go.tz/seed-varieties/taribean7,TARIBEAN7,Bean (Phaseolus vulgaris L.),Bean,Phaseolus vulgaris L.,Bean (Phaseolus vulgaris L.),2024,Tanzania Agricultural Research Institute,1000-18000,1000.0,18000.0,Medium-High,1.1,1.1,,"Maturity 90-100 days, torelant to angular leaf spot  and Anthracnose",,,,,{}
TARIBEAN8,https://www.tosci.go.tz/seed-varieties/taribean8,TARIBEAN8,Bean (Phaseolus vulgaris L.),Bean,Phaseolus vulgaris L.,Bean (Phaseolus vulgaris L.),2024,Tanzania Agricultural Research Institute,800-2000,800.0,2000.0,Medium-High,1.3,1.3,,"Large Purplish colour grains, maturity 90 days",,,,,{}
TARIBEAN9,https://www.tosci.go.tz/seed-varieties/taribean9,TARIBEAN9,Bean (Phaseolus vulgaris L.),Bean,Phaseolus vulgaris L.,Bean (Phaseolus vulgaris L.),2024,Tanzania Agricultural Research Institute,800-2000,800.0,2000.0,Medium-High,1.4 -2.6,1.4,2.6,"Mbegu zake zina rangi ya Pinki na zambarau,Inakomaa mapema kwa wastani wa siku 90",,,,,{}
TARICHIL 1,https://www.tosci.go.tz/seed-varieties/tarichil-1,TARICHIL 1,Chilli pepper,Chilli pepper,,Chilli pepper,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),,,,,,,,,,,,,{}
TARICHIL 2,https://www.tosci.go.tz/seed-varieties/tarichil-2,TARICHIL 2,Chilli pepper,Chilli pepper,,Chilli pepper,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),,,,,,,,,,,,,{}
TARICHIL 3,https://www.tosci.go.tz/seed-varieties/tarichil-3,TARICHIL 3,Chilli pepper,Chilli pepper,,Chilli pepper,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),,,,,,,,,,,,,{}
TARICHIL 4,https://www.tosci.go.tz/seed-varieties/tarichil-4,TARICHIL 4,Chilli pepper,Chilli pepper,,Chilli pepper,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),,,,,,,,,,,,,{}
TARICHIL 5,https://www.tosci.go.tz/seed-varieties/tarichil-5,TARICHIL 5,Chilli pepper,Chilli pepper,,Chilli pepper,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),,,,,,,,,,,,,{}
TARIHABANERO 1,https://www.tosci.go.tz/seed-varieties/tarihabanero-1,TARIHABANERO 1,Hot pepper,Hot pepper,,Hot pepper,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),,,,,,,,,,,,,{}
TARIHABANERO 2,https://www.tosci.go.tz/seed-varieties/tarihabanero-2,TARIHABANERO 2,Hot pepper,Hot pepper,,Hot pepper,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),,,,,,,,,,,,,{}
TARIHABANERO 3,https://www.tosci.go.tz/seed-varieties/tarihabanero-3,TARIHABANERO 3,Hot pepper,Hot pepper,,Hot pepper,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),,,,,,,,,,,,,{}
TARIHOHO 1,https://www.tosci.go.tz/seed-varieties/tarihoho-1,TARIHOHO 1,Sweet pepper,Sweet pepper,,Sweet pepper,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),,,,,,,,,,,,,{}
TARIHOHO 2,https://www.tosci.go.tz/seed-varieties/tarihoho-2,TARIHOHO 2,Sweet pepper,Sweet pepper,,Sweet pepper,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),,,,,,,,,,,,,{}
TARIHOHO 3,https://www.tosci.go.tz/seed-varieties/tarihoho-3,TARIHOHO 3,Sweet pepper,Sweet pepper,,Sweet pepper,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),,,,,,,,,,,,,{}
TARIHOHO 4,https://www.tosci.go.tz/seed-varieties/tarihoho-4,TARIHOHO 4,Sweet pepper,Sweet pepper,,Sweet pepper,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),,,,,,,,,,,,,{}
TARIHOHO 5,https://www.tosci.go.tz/seed-varieties/tarihoho-5,TARIHOHO 5,Sweet pepper,Sweet pepper,,Sweet pepper,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),,,,,,,,,,,,,{}
TARIKA1,https://www.tosci.go.tz/seed-varieties/tarika1,TARIKA1,Ground nut (Arachis hypogeae L.),Ground nut,Arachis hypogeae L.,Ground nut (Arachis hypogeae L.),2024,Tanzania Agricultural Research Institute,0-1500,0.0,1500.0,Low-Medium,2.6,2.6,,"Inastahimili ugonjwa wa kutu (Rust disease),Inakomaa kwa wastani wa siku 100",,,,,{}
TARIKA2,https://www.tosci.go.tz/seed-varieties/tarika2,TARIKA2,Ground nut (Arachis hypogeae L.),Ground nut,Arachis hypogeae L.,Ground nut (Arachis hypogeae L.),2024,Tanzania Agricultural Research Institute,0-1500,0.0,1500.0,Low-Medium,2.7,2.7,,"Inastahimili ugonjwa wa kutu (Rust disease),Inakomaa kwa wastani wa siku 100",,,,,{}
TARIKO- 1,https://www.tosci.go.tz/seed-varieties/tariko-1,TARIKO- 1,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2024,Tanzania Agricultural Research Institute,0-1000,0.0,1000.0,Low-Medium,1.98,1.98,,Inastahimili ugonjwa wa Blight (Tolerance to cashew leaf and nut blight disease,,,,,{}
TARIKO- 2,https://www.tosci.go.tz/seed-varieties/tariko-2,TARIKO- 2,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2024,Tanzania Agricultural Research Institute,0-1000,0.0,1000.0,Low-Medium,2.5,2.5,,Inastahimili ugonjwa wa Blight (Tolerance to cashew leaf and nut blight disease,,,,,{}
TARIKO- 3,https://www.tosci.go.tz/seed-varieties/tariko-3,TARIKO- 3,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2024,Tanzania Agricultural Research Institute,0-1000,0.0,1000.0,Low-Medium,2.4,2.4,,Inastahimili ugonjwa wa Blight (Tolerance to cashew leaf and nut blight disease,,,,,{}
TARIKO- 4,https://www.tosci.go.tz/seed-varieties/tariko-4,TARIKO- 4,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2024,Tanzania Agricultural Research Institute,0-1000,0.0,1000.0,Low-Medium,2.125,2.125,,Inastahimili ugonjwa wa Blight (Tolerance to cashew leaf and nut blight disease,,,,,{}
TARIKO- 5,https://www.tosci.go.tz/seed-varieties/tariko-5,TARIKO- 5,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2024,Tanzania Agricultural Research Institute,0-1000,0.0,1000.0,Low-Medium,1.93,1.93,,Inastahimili ugonjwa wa Blight (Tolerance to cashew leaf and nut blight disease,,,,,{}
TARIKO- 6,https://www.tosci.go.tz/seed-varieties/tariko-6,TARIKO- 6,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2024,Tanzania Agricultural Research Institute,0-1000,0.0,1000.0,Low-Medium,1.94,1.94,,Inastahimili ugonjwa wa Blight (Tolerance to cashew leaf and nut blight disease,,,,,{}
TARIKO- 7,https://www.tosci.go.tz/seed-varieties/tariko-7,TARIKO- 7,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2024,Tanzania Agricultural Research Institute,0-1000,0.0,1000.0,Low-Medium,3.34,3.34,,Inastahimili ugonjwa wa Blight (Tolerance to cashew leaf and nut blight disease,,,,,{}
TARIKO- 8,https://www.tosci.go.tz/seed-varieties/tariko-8,TARIKO- 8,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2024,Tanzania Agricultural Research Institute,0-1000,0.0,1000.0,Low-Medium,2.08,2.08,,Inastahimili ugonjwa wa Blight (Tolerance to cashew leaf and nut blight disease,,,,,{}
TARINGOGWE1,https://www.tosci.go.tz/seed-varieties/taringogwe1,TARINGOGWE1,African eggplant,African eggplant,,African eggplant,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),,,,,,,,,,,,,{}
TARINGOGWE2,https://www.tosci.go.tz/seed-varieties/taringogwe2,TARINGOGWE2,African eggplant,African eggplant,,African eggplant,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),,,,,,,,,,,,,{}
TARINGOGWE3,https://www.tosci.go.tz/seed-varieties/taringogwe3,TARINGOGWE3,African eggplant,African eggplant,,African eggplant,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),,,,,,,,,,,,,{}
TARISCA1,https://www.tosci.go.tz/seed-varieties/tarisca1,TARISCA1,Sugar cane (Saccharum officinarum),Sugar cane,Saccharum officinarum,Sugar cane (Saccharum officinarum),2021,Tanzania Agricultural Research Institute (TARI,0-1200,0.0,1200.0,Rainfed culture,,,,Smut resistance compared to check,,,,,"{""Special Attributes"": ""High cane yield (>40 t/ha)\nHigh sugar yield (>7.0 t/ha)\nSmut resistance compared to check\nTolerant to Eldana (<4%)""}"
TARISCA2,https://www.tosci.go.tz/seed-varieties/tarisca2,TARISCA2,Sugar cane (Saccharum officinarum),Sugar cane,Saccharum officinarum,Sugar cane (Saccharum officinarum),2021,Tanzania Agricultural Research Institute (TARI,0-1200,0.0,1200.0,Rainfed culture,,,,,,,,,"{""Special Attributes"": ""High cane yield (>40 t/ha),Tolerant to Eldana (<4%),High sugar yield (>7.0 t/ha),Smut resistance compared to check""}"
TARISOR1,https://www.tosci.go.tz/seed-varieties/tarisor1,TARISOR1,Sorghum (Sorghum bicolor (L.),Sorghum,Sorghum bicolor (L.,Sorghum (Sorghum bicolor (L.),2021,Tanzania Agricultural Research Institute (TARI,800-1500,800.0,1500.0,Mid attitude.,,,,,,,,,"{""Special Attributes"": ""Striga and bird tolerance, High grain yield, Good for food and brewing, High carbohydrate content and low tannin.""}"
TARISOR2,https://www.tosci.go.tz/seed-varieties/tarisor2,TARISOR2,Sorghum (Sorghum bicolor (L.),Sorghum,Sorghum bicolor (L.,Sorghum (Sorghum bicolor (L.),2021,Tanzania Agricultural Research Institute (TARI,800-1500,800.0,1500.0,Mid attitude.,,,,,,,,,"{""Special Attributes"": ""Striga and bird tolerance, High grain yield, Good for food and brewing""}"
TARISP7,https://www.tosci.go.tz/seed-varieties/tarisp7,TARISP7,Sweet potatoes (Ipomea batatas L.),Sweet potatoes,Ipomea batatas L.,Sweet potatoes (Ipomea batatas L.),2021,Tanzania Agricultural Reserch Institute(TARI),0-1200,0.0,1200.0,Low to Medium Altitude,,,,,,,,,"{""Special Attributes"": ""High root yield potential > 10 t/ha, High processing quality into dried Sweet Potato, Tolerant to sweet potato virus diseases""}"
TARISP8,https://www.tosci.go.tz/seed-varieties/tarisp8,TARISP8,Sweet potatoes (Ipomea batatas  L.),Sweet potatoes,Ipomea batatas  L.,Sweet potatoes (Ipomea batatas  L.),2021,Tanzania Agricultural Reserch Institute(TARI),0-1200,0.0,1200.0,Low to Medium Altitude,,,,,,,,,"{""Special Attributes"": ""High root yield potential > 10 t/ha, High processing quality into crisps, Tolerant to sweet potato virus diseases""}"
TARITOM1,https://www.tosci.go.tz/seed-varieties/taritom1,TARITOM1,Tomato,Tomato,,Tomato,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),,,,,,,,,,,,,{}
TARITOM2,https://www.tosci.go.tz/seed-varieties/taritom2,TARITOM2,Tomato,Tomato,,Tomato,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),,,,,,,,,,,,,{}
TARITOM3,https://www.tosci.go.tz/seed-varieties/taritom3,TARITOM3,Tomato,Tomato,,Tomato,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),,,,,,,,,,,,,{}
TARITOM4,https://www.tosci.go.tz/seed-varieties/taritom4,TARITOM4,Tomato,Tomato,,Tomato,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),,,,,,,,,,,,,{}
TARITOM5,https://www.tosci.go.tz/seed-varieties/taritom5,TARITOM5,Tomato,Tomato,,Tomato,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),,,,,,,,,,,,,{}
TARITOM6,https://www.tosci.go.tz/seed-varieties/taritom6,TARITOM6,Tomato,Tomato,,Tomato,2025,Taasisi ya Utafiti wa Kilimo Tanzania (TARI),,,,,,,,,,,,,{}
TARIZAB 1,https://www.tosci.go.tz/seed-varieties/tarizab-1,TARIZAB 1,Grapevine (Vitis vinifera),Grapevine,Vitis vinifera,Grapevine (Vitis vinifera),2023,Vetagro (EA) ltd,,,,,,,,,,,,,{}
TARIZAB 2,https://www.tosci.go.tz/seed-varieties/tarizab-2,TARIZAB 2,Grapevine (Vitis vinifera),Grapevine,Vitis vinifera,Grapevine (Vitis vinifera),2023,EASI SEEDS (T) LTD,,,,,,,,,,,,,{}
TARIZAB 3,https://www.tosci.go.tz/seed-varieties/tarizab-3,TARIZAB 3,Grapevine (Vitis vinifera),Grapevine,Vitis vinifera,Grapevine (Vitis vinifera),2023,Tanzania Agricultural Research Institute,,,,,,,,,,,,,{}
TARIZAB 4,https://www.tosci.go.tz/seed-varieties/tarizab-4,TARIZAB 4,Grapevine (Vitis vinifera),Grapevine,Vitis vinifera,Grapevine (Vitis vinifera),2023,Tanzania Agricultural Research Institute,,,,,,,,,,,,,{}
TARIZAB 5,https://www.tosci.go.tz/seed-varieties/tarizab-5,TARIZAB 5,Grapevine (Vitis vinifera),Grapevine,Vitis vinifera,Grapevine (Vitis vinifera),2023,Tanzania Agricultural Research Institute,,,,,,,,,,,,,{}
Taurus,https://www.tosci.go.tz/seed-varieties/taurus,Taurus,Round Potato (Solanum tuberosum),Round Potato,Solanum tuberosum,Round Potato (Solanum tuberosum),2019,HZPC IPR B.V,800-2000,800.0,2000.0,All areas groun round potato,,,,,,,,,"{""Special Attributes"": ""OPV""}"
Tausi,https://www.tosci.go.tz/seed-varieties/tausi,Tausi,Wheat (Triticum aestivum.L),Wheat,Triticum aestivum.L,Wheat (Triticum aestivum.L),1987,ARI Selian,1283-2400,1283.0,2400.0,"Arusha, Manyara, Iringa, Mbeya",2.0-4.0,2.0,4.0,"Leaf glaucosity: strong, Growth habit: erect, Flag leaf altitude: erect, Culm glaucosity: strong, Spike density: strong, Plant height:70 cm, Awn colour: white, Spike attitude: inclined, Kernel colour:white",,70.0,,,"{""Special Attributes"": ""Susceptible to leaf, stem and yellow rusts.""}"
TDC1,https://www.tosci.go.tz/seed-varieties/tdc1,TDC1,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2017,ARI -Naliendele,0 - 1000,0.0,1000.0,,10 kg/tree after 5 years (first harvest),10.0,,"High yield, which is: 104 Kernels/kg and  Kernels weght      9.59g,Edible part per nut  26.47%",,,,,{}
TDC10,https://www.tosci.go.tz/seed-varieties/tdc10,TDC10,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2017,ARI -Naliendele,0- 1000,0.0,1000.0,,10 kg/tree after 5 years (first harvest),10.0,,"High yield( 87 kernels/kg with kernel weight of 11.56),Edible part per nut 29.45%",,,,,{}
TDC12,https://www.tosci.go.tz/seed-varieties/tdc12,TDC12,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2017,ARI -Naliendele,0 - 1000,0.0,1000.0,,10 kg/tree after 5 years (first harvest),10.0,,"High yield (101 kernels/kg with kernel weight of 9.86), Edible part per nut 26.5% Edible part per nut 27.67%",,,,,{}
