variety_name,crop_full,registrant,year,detail_url
NATA H 104,Maize (Zea mays L.),Aminata Quality Seed and Consultancy Ltd,2012,https://www.tosci.go.tz/seed-varieties/nata-h-104
NATA H 105,Maize (Zea mays L.),Aminata Quality Seed and Consultancy Ltd,2012,https://www.tosci.go.tz/seed-varieties/nata-h-105
NATA H401,Maize (Zea mays L.),Aminata Quality Seed and Consultancy,2016,https://www.tosci.go.tz/seed-varieties/nata-h401
NATA K 8,Maize (Zea mays L.),Aminata Quality Seed and Consultancy,2016,https://www.tosci.go.tz/seed-varieties/nata-k-8
NATION RZ,Letuce (Lactuca sativa  ),Rijk Zwaan Afrisem Ltd.,2021,https://www.tosci.go.tz/seed-varieties/nation-rz
NDOVU,Watermelon  (Citrullus lanatus    ),ULTRVETIS TANZANIA LTD,2021,https://www.tosci.go.tz/seed-varieties/ndovu
Nduruma,African Nightshade (Solanum scabrum),HORTI-Tengeru,2011,https://www.tosci.go.tz/seed-varieties/nduruma
NEPTUNE F1,Onion (Allium cepa L  ),BALTON Tanzania Ltd.,2021,https://www.tosci.go.tz/seed-varieties/neptune-f1
NERICA 1,Paddy (Oryza sativa),KATRIN,2009,https://www.tosci.go.tz/seed-varieties/nerica-1
NERICA 2,Paddy (Oryza sativa),KATRIN,2009,https://www.tosci.go.tz/seed-varieties/nerica-2
NERICA 4,Paddy (Oryza sativa),KATRIN,2009,https://www.tosci.go.tz/seed-varieties/nerica-4
NERICA 7,Paddy (Oryza sativa),KATRIN,2009,https://www.tosci.go.tz/seed-varieties/nerica-7
Ngoli,Wheat (Triticum aestivum.L),ARI Uyole,2014,https://www.tosci.go.tz/seed-varieties/ngoli
NGURUMA,,HORTI- Tengeru,2021,https://www.tosci.go.tz/seed-varieties/nguruma
Nice F1,Callard (Brassica oleraceae var. acephala),Continental Seeds Company,2023,https://www.tosci.go.tz/seed-varieties/nice-f1
NIKOMATE F1,Tomato (Solanum lycopersicum),BALTON TANZANIA LTD,2021,https://www.tosci.go.tz/seed-varieties/nikomate-f1
NJANO,Mahindi,WAKULIMA,2025,https://www.tosci.go.tz/seed-varieties/njano
Njano Uyole,Bean (Phaseolus vulgaris L.),ARI Uyole,2008,https://www.tosci.go.tz/seed-varieties/njano-uyole
Njombe 6,Wheat (Triticum aestivum.L),TANWAT,1987,https://www.tosci.go.tz/seed-varieties/njombe-6
NJOTO F1,Cabbage,ACSEN AGRISCIENCE (TZ) P LTD,2025,https://www.tosci.go.tz/seed-varieties/njoto-f1
NMD19,Lablab bean (Lablab purpureus),Nelson Mandela African Institute of Science and Technology (NM-AIST),2021,https://www.tosci.go.tz/seed-varieties/nmd19
NMD20,Lablab bean (Lablab purpureus),Nelson Mandela African Institute of Science and Technology (NM-AIST),2021,https://www.tosci.go.tz/seed-varieties/nmd20
NORA F1,Okra (Abelmoschus esculentus  ),ARYSTA LIFESCIENCE TZ LTD,2022,https://www.tosci.go.tz/seed-varieties/nora-f1
NSFH 145,Sunflower (Helianthus annus L.),Sunflower Development Company Ltd (SDC),2015,https://www.tosci.go.tz/seed-varieties/nsfh-145
NSFH 36,Sunflower (Helianthus annus L.),Sunflower Development Company Ltd (SDC),2015,https://www.tosci.go.tz/seed-varieties/nsfh-36
NTA 93 -21,Cotton (Gossypium hirsutum L),ARI Ilonga,2014,https://www.tosci.go.tz/seed-varieties/nta-93-21
NURU,Okra (Abelmoschus esculentus  ),East West Seed (T)Limited,2021,https://www.tosci.go.tz/seed-varieties/nuru-2
Nyati,Wheat (Triticum aestivum.L),ARI Selian,1973,https://www.tosci.go.tz/seed-varieties/nyati
